ID1,ID2,EdgeType,Score,Annotation
10240,10244,MS1 annotation,5.000,[M-H2O+2H]+2 [M+NH4]+ dm/z=197.1051
10393,10397,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
10472,10485,MS1 annotation,2.000,[M-H2O+NH4]+ [2M+K]+ dm/z=202.0016
10488,10512,MS1 annotation,2.000,[2M-H+2Na]+ [M-H2O+NH4]+ dm/z=208.0202
10489,10534,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0264
10489,10536,MS1 annotation,5.000,[2M+Na]+ [M+H]+ dm/z=364.1281
10489,10494,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9819
10489,10513,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9555
10489,10534,MS1 annotation,5.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
10489,10494,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
10489,10513,MS1 annotation,5.000,[M+K]+ [2M+2H]+2 dm/z=37.9555
10494,10534,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
10494,10513,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9736
10513,10534,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9291
10513,10536,MS1 annotation,5.000,[2M+Na]+ [M+K]+ dm/z=326.1726
10534,10536,MS1 annotation,5.000,[2M+Na]+ [M+NH4]+ dm/z=347.1017
10575,10593,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
10575,10593,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9823
10644,10690,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9832
10644,10662,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
10658,10659,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9548
10659,10660,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
10662,10690,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
10712,10723,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
10753,10768,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0268
10826,10827,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9821
10884,10902,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
10925,10936,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
11142,11144,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
11142,11145,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
11144,11145,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
11161,11181,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0375
11161,11181,MS1 annotation,2.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0375
11172,11178,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
11172,11173,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9814
11173,11178,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
11202,11204,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
11202,11203,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
11203,11204,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
11209,11217,MS1 annotation,2.000,[M-H2O+NH4]+ [2M+Na]+ dm/z=284.1637
11219,11247,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9814
11219,11242,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
11227,11228,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
11242,11247,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0263
11274,11282,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
11274,11280,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
11280,11282,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
11311,11316,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9826
11337,11343,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
11406,11412,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9827
11406,11411,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0262
11460,11463,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
11463,11466,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
11470,11494,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
11578,11595,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
11578,11595,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
11654,11656,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
