formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C14H21NO23P4	[M + H]+	C14H21NO23P4	2.753636533016358	2.753636533016358	0.0	3	0.810871039627943	6.5754194548096585	6.939266929437945	-1.4784130080649251		695.95173	419.69	1599_group2_sirius_15702	15702
1	C33H65N5O5	[M + H]+	C33H65N5O5	4.320300616696597	4.320300616696597	0.0	4	0.921581409876186	5.334055063972969	5.334055063972969	-1.316939515354848		612.50504	421.50946353912354	1600_group2_sirius_15763	15763
1	C11H10O4	[M + H]+	C11H10O4	135.7020428799051	132.33363975756188	3.368403122343205	42	0.9228909589712767	1.7658022137134355	1.7658022137134355	0.6507507363880828		207.06532	234.29843749999998	1601_group2_sirius_6695	6695
1	C12H18O4	[M + H]+	C12H18O4	56.56487687485592	53.831216177771424	2.733660697084499	16	0.8671520747482047	4.689628459588322	4.689628459588322	0.23991734986024219		227.12784	301.0183203125	1602_group2_sirius_10053	10053
1	C24H40O10	[M + H3N + H]+	C24H43NO10	48.8805404734955	48.8805404734955	0.0	21	0.965503110131565	2.292890340964573	2.292890340964573	0.05327300521632178		506.29600	241.8345619443961	1603_group2_sirius_7018	7018
1	C44H67N9O2	[M + H]+	C44H67N9O2	1.1753036680021838	1.1753036680021838	0.0	2	0.8134226378902895	13.814335367974772	13.814335367974772	2.426826285743042		754.55088	521.29	1604_group2_sirius_16983	16983
1	C17H37N	[M + H]+	C17H37N	2.7869266521213647	1.0539159970697043	1.7330106550516604	2	1.0	6.13388597511302	6.13388597511302	-0.06490869932422963		256.29986	316.68	1605_group2_sirius_10621	10621
1	C25H50O12	[M + H]+	C25H50O12	37.3083176035611	37.3083176035611	0.0	13	0.9711996160739119	3.5688086559203547	4.151415028453563	2.4782102540404334		543.33885	252.463125	1606_group2_sirius_7605	7605
1	C25H49N3O7	[M + H]+	C25H49N3O7	27.889605616500184	27.889605616500184	0.0	11	0.8681058908061187	6.927015709523857	6.927015709523857	-3.067950594152343		504.36278	404.61875	1607_group2_sirius_14892	14892
1	C13H28O7	[M + H]+	C13H28O7	17.46115498229922	13.983391570689193	3.477763411610028	3	1.0	3.898196003466957	3.898196003466957	-0.5373254730962649		297.19062	133.965	1608_group2_sirius_1461	1461
1	C15H31NO2	[M + H]+	C15H31NO2	40.357967388076744	36.81428071422049	3.5436866738562554	16	0.9897558058413265	5.869554522264853	5.869554522264853	-0.6803064411377133		258.24258	299.49625000000003	1609_group2_sirius_10021	10021
1	C18H35NO2	[M + H]+	C18H35NO2	48.75590993533509	44.98948311668976	3.7664268186453302	9	0.9843053319739213	7.679234000080887	7.679234000080887	-0.15359062160532638		298.27401	334.860830078125	1610_group2_sirius_11356	11356
1	C26H44O9	[M + H]+	C26H44O9	17.835046898691157	17.835046898691157	0.0	7	0.9999999999999999	6.288881663757673	6.288881663757673	7.78073879614685		501.30971	322.03	1611_group2_sirius_10909	10909
1	C13H20O	[M + H]+	C13H20O	91.74124036444839	90.10888849660009	1.6323518678482989	21	0.852668987544859	3.181713187330208	3.181713187330208	0.9747825700831236		193.15888	253.97500000000002	1612_group2_sirius_7689	7689
1	C21H46O6P2	[M + H3N + H]+	C21H49NO6P2	29.427447586187736	26.580674285436967	2.8467733007507676	12	1.0	6.447760466729386	6.447760466729386	-2.6101099811486996		474.30955	340.3384375	1613_group2_sirius_11504	11504
1	C21H34O8	[M + H]+	C21H34O8	21.36428337776157	21.36428337776157	0.0	7	0.8947689133740291	1.8493221482338713	1.8493221482338713	-0.010837516249593044		415.23264	279.6225	1614_group2_sirius_9160	9160
