ID1,ID2,EdgeType,Score,Annotation
5819,5822,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9928
5856,5879,MS1 annotation,3.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0477
5862,5879,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0370
5862,5879,MS1 annotation,3.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0370
6012,6021,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
6021,6026,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0030
6021,6027,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9819
6066,6071,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0377
6070,6071,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
6292,6531,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0375
6309,6363,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
6309,6331,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
6331,6363,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9928
6331,6395,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0035
6381,6490,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
6485,6487,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
6485,6487,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
6836,6837,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9820
6863,6868,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
6863,6868,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
6909,7016,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
7064,7065,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
7203,7467,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9935
7347,7545,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0374
7398,7552,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
7398,7523,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
7402,7414,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
7406,7407,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0031
7406,7409,MS1 annotation,4.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9925
7406,7408,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9819
7420,7426,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
7523,7552,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
7545,7549,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0374
7615,7621,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9925
7615,7617,MS1 annotation,3.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0032
7775,7779,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
7858,7859,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
7922,7923,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0375
7971,7972,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
8000,8006,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
8184,8185,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0371
8184,8187,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9921
8184,8185,MS1 annotation,4.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0371
8184,8187,MS1 annotation,4.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9921
8185,8186,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0483
8185,8187,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9549
8186,8187,MS1 annotation,4.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0032
8217,8219,MS1 annotation,4.000,[2M+Na]+ [M+H]+ dm/z=307.1187
8217,8224,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
8224,8228,MS1 annotation,4.000,[2M+H]+ [M+Na]+ dm/z=263.1546
8277,8293,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9933
8277,8302,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
8293,8302,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0379
8334,8338,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0379
8338,8340,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
8343,8358,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0262
8343,8356,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9815
8356,8358,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
8375,8390,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9922
8375,8377,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
8377,8390,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0370
8444,8493,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0374
8589,8599,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0369
8589,8592,MS1 annotation,5.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9921
8591,8592,MS1 annotation,5.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0042
8592,8599,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
8592,8612,MS1 annotation,5.000,[2M+2H]+2 [M+Na]+ dm/z=21.9811
8599,8612,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0260
8603,8761,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0268
8699,8715,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0475
8699,8713,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0369
8740,8749,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0377
8998,9011,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9562
9001,9127,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
9001,9011,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0265
9002,9013,MS1 annotation,2.000,[2M-H+2Na]+ [M+H]+ dm/z=193.0194
9011,9127,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
9037,9041,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9830
9045,9052,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
9065,9068,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
9141,9143,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9927
9141,9143,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9927
9173,9183,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
9222,9224,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
9321,9322,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
9381,9409,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9927
9510,9515,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
9518,9576,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9933
