Filename	Sample_Type	Subject	Timepoint_min	Sampling_Location	Comments
skin_02_240_UB.mzXML	skin	Subject_2	240	upper back	
skin_02_30_FH.mzXML	skin	Subject_2	30	forehead	
skin_02_30_OF.mzXML	skin	Subject_2	30	forearm	
skin_02_30_UB.mzXML	skin	Subject_2	30	upper back	
skin_02_360_FH.mzXML	skin	Subject_2	360	forehead	
skin_02_360_OF.mzXML	skin	Subject_2	360	forearm	
skin_02_360_UB.mzXML	skin	Subject_2	360	upper back	
skin_02_480_FH.mzXML	skin	Subject_2	480	forehead	
skin_02_480_OF.mzXML	skin	Subject_2	480	forearm	
skin_02_480_UB.mzXML	skin	Subject_2	480	upper back	
skin_02_60_FH.mzXML	skin	Subject_2	60	forehead	
skin_02_60_OF.mzXML	skin	Subject_2	60	forearm	
skin_02_60_UB.mzXML	skin	Subject_2	60	upper back	
skin_02_600_FH.mzXML	skin	Subject_2	600	forehead	
skin_02_600_OF.mzXML	skin	Subject_2	600	forearm	
skin_02_600_UB.mzXML	skin	Subject_2	600	upper back	
skin_02_720_FH.mzXML	skin	Subject_2	720	forehead	
skin_02_720_OF.mzXML	skin	Subject_2	720	forearm	
skin_02_720_UB.mzXML	skin	Subject_2	720	upper back	
skin_02_90_FH.mzXML	skin	Subject_2	90	forehead	
skin_02_90_OF.mzXML	skin	Subject_2	90	forearm	
skin_02_90_UB.mzXML	skin	Subject_2	90	upper back	
skin_03_0_FH.mzXML	skin	Subject_3	0	forehead	
skin_03_0_OF.mzXML	skin	Subject_3	0	forearm	
skin_03_0_UB.mzXML	skin	Subject_3	0	upper back	
skin_03_120_FH.mzXML	skin	Subject_3	120	forehead	
skin_03_120_OF.mzXML	skin	Subject_3	120	forearm	
skin_03_120_UB.mzXML	skin	Subject_3	120	upper back	
skin_03_1440_FH.mzXML	skin	Subject_3	1440	forehead	
skin_03_1440_OF.mzXML	skin	Subject_3	1440	forearm	
skin_03_1440_UB.mzXML	skin	Subject_3	1440	upper back	
skin_03_240_FH.mzXML	skin	Subject_3	240	forehead	
skin_03_240_OF.mzXML	skin	Subject_3	240	forearm	
skin_03_240_UB.mzXML	skin	Subject_3	240	upper back	
skin_03_30_FH.mzXML	skin	Subject_3	30	forehead	
skin_03_30_OF.mzXML	skin	Subject_3	30	forearm	
skin_03_30_UB.mzXML	skin	Subject_3	30	upper back	
skin_03_360_FH.mzXML	skin	Subject_3	360	forehead	
